proj,loc,country,name,geometry
Aurex-McQuesten gold project,"Mayo, Yukon",ca,Banyan Gold Corp.,POINT (-135.8973759 63.5954596)
Fourmile Goldrush Camp,Nevada,us,Barrick Gold Corporation,POINT (-116.8537227 39.5158825)
Lawyers Au-Ag project,"Prince George, British Columbia",ca,Benchmark Metals Inc.,POINT (-122.7453699 53.9128645)
Oak Dam FeO-Cu-Au project,Roxby Downs,au,BHP,POINT (136.8816645 -30.5517551)
Boundary Zone Zn-Pb-Ag project,"Ross River, Yukon Territory",ca,Fireweed Zinc,POINT (-132.4494915 61.9798045)
Janice Lake Cu-Ag project,"La Ronge, Saskatchewan",ca,Forum Energy Metals,POINT (-105.301208 55.100373)
PAK Lithium project,"Red Lake, Ontario",ca,Frontier Lithium,POINT (-93.82736199999999 51.018938)
Marathon palladium project,"Marathon, Ontario",ca,Generation Mining Limited,POINT (-86.3758954 48.7162203)
The Crater Lake scandium-rare earth project,"Schefferville, Quebec",ca,Imperial Mining Group Ltd.,POINT (-66.820626 54.8005133)
Camp Zone-Condor Au-Ag project,"Zamora, Chinchipe",ec,Luminex Resources,POINT (-79.1377246 -4.8536233)
Alamos silver project,"Alamos, Sonora",mx,Minaurum Gold Inc.,POINT (-108.9235232 27.0828453)
Sakami gold project,"Wemindji, Quebec",ca,Quebec Precious Metals Corporation,POINT (-78.7513534 53.0227158)
O'Brien gold project,"Rouyn-Noranda (Cadillac), Quebec",ca,Radisson Mining Resources Inc.,POINT (-79.02311 48.23656)
AntaKori Cu-Au-Ag project,"Cajamarca, Hualgayoc",pe,Regulus Resources Inc.,POINT (-78.5314589 -6.7087189)
Klaza Au-Ag project,"Carmacks, Yukon",ca,Rockhaven Resources,POINT (-136.2898984 62.0887686)
Norman West Cu-Ni-PGE project,"Sudbury, Ontario",ca,Sudbury Integrated Nickel Operations,POINT (-80.99121100000001 46.49272)
West Bear Co-Ni deposit,"Wollaston Lake, Saskatchewan",ca,UEX Corporation,POINT (-103.2483734 58.3317708)
Alconchel Cu-Au project,Badajoz,es,Valoriza Mineria,POINT (-6.9702048 38.8780585)
Goodfish Kirana gold property,"Kirkland Lake, Ontario",ca,Warrior Gold Inc.,POINT (-80.03128100000001 48.154177)
Shovelnose gold discovery,"Merritt, British Columbia",ca,Westhaven Ventures,POINT (-120.7884227 50.111704)
Perron gold project,"Normetal, Quebec",ca,Amex Exploration,POINT (-79.362488 48.996438)
Goldboro gold project,"Goldboro, Nova Scotia",ca,Anaconda Mining Inc.,POINT (-61.6523557 45.1823896)
El Cobre Au-Cu Porphyry project,Veracruz,mx,Azucar Minerals Ltd.,POINT (-96.666667 19.333333)
"Grasset ultramafic complex Ni, Cu, Co, PGE property","Matagami, Quebec",ca,Balmoral Resources Ltd.,POINT (-77.6300251 49.7575884)
"South Mountain Zn, Ag, Au, Cu project","Boise, Idaho",us,BeMetals Corp.,POINT (-116.200886 43.6166163)
Moroy gold project,"Desmaraisville, Quebec",ca,Bonterra Resources Inc.,POINT (-76.1895705 49.5069532)
Soledad Cu-Au-Ag project,"Aija, Aija Province",pe,Chakana Copper Corporation,POINT (-77.6106401 -9.780218)
Wicheeda rare earth element project,"Prince George, British Columbia",ca,Defense Metals Corp,POINT (-122.7453699 53.9128645)
Corner Bay copper deposit,"Chibougamau, Quebec",ca,Dore Copper,POINT (-74.3713954 49.9137407)
Oko gold project,"Bartica, Cuyuni",gy,G2 Goldfields Inc.,POINT (-58.6198247 6.4058045)
Dixie gold project,"Red Lake, Ontario",ca,Great Bear Resources,POINT (-93.82736199999999 51.018938)
Tatogga Au-Cu project,"Golden Triangle, British Columbia",ca,GT Gold,POINT (-122.9627486 50.0991968)
Macassa gold project,"Kirkland Lake, Ontario",ca,Kirkland Lake Gold,POINT (-80.03128100000001 48.154177)
Black Pine gold project,"Cassia County, Idaho",us,Liberty Gold Corp.,POINT (-113.5777087 42.2219306)
"SPJ Au, Co, Cu, Ni property","Sudbury, Ontario",ca,MacDonald Mines Exploration,POINT (-80.99121100000001 46.49272)
Pamlico gold project,"Hawthorne, Nevada",us,Newrange Gold Corp.,POINT (-118.624578 38.5246441)
Colomac gold project,"Yellowknife, Northwest Territories",ca,Nighthawk Gold,POINT (-114.4467513 62.4710386)
Kwanika Cu-Au project,"Fort St. James, British Columbia",ca,Serengeti Resources Inc.,POINT (-124.2596983 54.4446952)
"Freegold Mountain Au, Ag, Cu, Mo project","Carmacks, Yukon Territory",ca,Triumph Gold Corp.,POINT (-136.2898984 62.0887686)
San Francisco Au-Cu project,"Calingasta, San Juan",ar,Turmalina Metals,POINT (-69.88272790000001 -31.4476967)
